voted_up,review,playtime_forever
False,"Who doesnt love to get beamed by any AR full auto at 300+ m , Omega fun. would recommend this game any Cheater like Apex Legends. both Devs dont care! Müsst ihr selbst wissen.",513.8333333333334
True,good,1497.7166666666667
True,"Mismanaged, but fun.",4259.8
False,垃圾服务器没有优化bug一堆,119.08333333333333
False,atleast 1 hacker every or every other game not very enjoyable anymore !,1877.4666666666667
True,never lost the magic imo,220.7
False,"DOG WATER AHHH GAME WON'T LAUNCH FOR ME ANYMORE... SAD, I GOT IT TO LAUNCH ONCE THOUGHT I FIXED IT AND I BE DAMN IF IT WOULDN'T LAUNCH AGAIN.. Almost 700hrs later and prolly 500 on console.. Never thought the game would be so bad that you had to solve for x just to make it launch smh. Do not buy this game in 2026",669.15
False,every time there is a problem with game,615.8
True,classic,56.766666666666666
False,In this game you fight 1 squad the next second 3squads fight you this game is absolute ♥♥♥♥ the ranked system is completely ♥♥♥♥♥♥ having fun so far,1210.25
False,"Since day one player, over 1300 hours, one of my top most played games, lots of time streaming and making memories with friends AND NOW...no more.

For the TLDR, game bad. Carless greedy company, the worst gambling of loot boxes I've ever seen, no concern for the quality of experience for the players, laughable attempts of quashing the constant surge of cheaters, severly limited servers with no option of choice, insane ratio of in game currency value to the dollar and on top of all that is an extreme lapse of quality of in game content.

Understandably, there are many different points of view and likes accross many different personalities so there is great varience in opinions and therefore not everything is for everyone. Aside from previous satement there is still some measure of quality that is objective and I'd like to dive into those over personal feelings or experience.

Most importantly is quality of Publisher/Developer. Naturally, the ideals and desires of the two are often differing, conflicting, independant, selfish. Why not, one will care more about face, money and status while the other concerns themselves with quality of product and it's users. Uncertain as to which one is more reasponsible for the copious negatives BUT there is almost nothing possitive to say about anything purtaining to the responsibilities of quality in game that either company oversee. Gambling is quite possibly one of the worst things to be implemented in casual and competitive gaming in order to create a strive for goals and the rewards of their completion and PUBG is without a doubt the worst one in the gaming industry containing: Several different tabs to visit to obtain in game cosmetics, a couple different unique currency PER TAB, obscure ways to obtain said currency, painfully slow gain of currency, the value of the items woeully insignificant to the total value of game time and possibility to earn, multiple loot box systems with a miniscule chance to earn anything valuable, grotesquely unfair ratio of covertion rate of real dollar to premium currency with next to no way to gain outside of spending real money.

There remains a fair deal of cosmetic content to gain without dropping a single dollar and it REMAINS a choice for the user if they wish, which I sadly have chosen and lament the thought of calculating that total value. Possibly sitting somewhere in the highest of tripple diggits. As it stands, not an ounce of this game is pay to win, all of the currencies prelude to just cosmetics and PUBG has some of the flashiest character designs, gun vehicle and even lobby skins BUT unlocking them is akin to an enternity of scraping your nails on a chalkboard and hoping that the next minute might yield gold.

Another point is the game mechanics. As a drop in, loot, survive and winner winner chicken dinner it is safe to say that, while not being the first in it's genre, PUBG has set the ultimate ground work and become synonymous with the game type, Battle Royal. Veritably the most saddest example of a ""where are they now?"" scenario like a slap in the face is that of PUBG now, similar to discovering your childhood hero is infact in rehab for various illegal activities. Which isn't to say the overabundance of cosmetics and crossover deals has interfered much at all with the overall game experience, just look at fortnite, everyone loves a bit of whimsy in their lives. Saddly the level of detail in gunplay, the strategey unique in many Mil Sims, the squad based gameplay and skill levels and outcomes have ALL been on a rapid decline. Quality of gameplay systematically making way for the glam and glitter designed to distract players into painfully forcing themselves into the meat grinder with the epitath of ""just one more"".

Futhermore understandable is the claim of ""get good"" in a game of competitive challenge. With most games, a progression from beginner to top player is meant to scale with the player, combining challenge with reward further cultivating an overall positive experience which provides opportunity to ""get good"". However many new player, returning player or just a casual drop in and out player are met with matchups agaisnt skill levels that belong only in the eSports level, denying the first five to ten steps required to obtain ""good"" status. Personally to say after 1300+ hours I have very little skill to show for time spent, of which at one point I commited time and effort to train myself. Learning in game physics, selecting guns to master an understanding of, developing of tactics and even perfection of the drop system, like the broken shattered dreams laid before me I am left with naught but ruin and frustration. After all that I'd like to point out, only ever casual gaming, never trying for anything other than drop in and play. That level of standard for a game is grotesque in it's entirety, solidifying the game primarily as a private club of people built only on the extremely skilled player. 

Throughout the many years PUBG has been alive, it has seen far more than it's fair share of cheaters. Myself and friends of mine have personally seen some of the worst cheating in our gaming experiences, from the simple terrain cliping or expliot, wall hacks, auto aim, zero recoil to some severe diobolical cheating. I personally witenessed a kill cam reveal a player from across the map, lock instantly onto various people positions throughout the map, move through ground, wall and building in seconds to end up right behind me. While the appeal of a free game is very attractive to many players, there is always a little caveat of the previously mentioned problems such as high loot box focus, agressive battle pass, small to moderate percentage of the game locked away ABOVE ALL lies the biggest achilies heel in the form of cheaters. There is ZERO recompense for these cheaters, bans easy to work back around, accounts to be made as infinatly as you can create emails. Understandably there can be little done sometimes, if someone wants to cheat and ruin other players games, they are going to BUT one simple way that can stop cheaters or at least a vast majority of them is a game price. You can't bounce back from a ban anywhere near as easily if it costs you financially.

Finally as a nail in the coffin, I have not once seen a game require in order to simply use a feature of it you phone number, personal phone number, information which is only likely needed to track or steal information. Security is an extremely garbage reason to require personal information in order to play ranked modes as opposed to quick match. Systems across the whole of game space in the entirety of ever have never once needed that type of feature and it should come as a precursor for what either the game devs or publishers really care about which is tracking it's users.

Whilst personaly I've had my own ups and downs, possitive and negative memories, pros and cons, loves and hates and despite this length of a review, I could fill this space double over with my own personal thoughts and experiences. This game and it's makers care and hope for only one thing, the money they can bleed out of it's users while they distract players with the flashy lights of pretty outfits and instill false hope that the random chances are remotely achieveable. Solid 0/10, this game deserves to be laid to rest.",1320.35
False,"can't play the game, won't let me get into the client, super buggy.",176.46666666666667
True,,185.03333333333333
True,"uhhhhh fun
",1670.25
True,Epic game!  Still one of the best BR out there=),4925.233333333334
True,55uy5rnujhnjjtjrtju,8.716666666666667
True,Good game,7.983333333333333
True,only good with friends or rare friendly strangers. everything else is just solo-4man,839.8833333333333
False,"Spend 12500 G-Coin, didn't even get a single one Eve Record File, what a scam, that even expensive more than a original Stellar Blade Game",158.91666666666666
True,good,1028.2166666666667
True,Good game,1084.1333333333334
True,OLD BUT GOLD,22.8
True,game bagus banget anjiirrr,472.85
False,"GAME KONTOL, TIBA TIBA NLD, PAS MASUK LAGI MALAH GAME CRASH NGENTOT",3261.2166666666667
True,Day one player and still great fun...somehow.,1811.5
True,good game,876.7333333333333
True,toots,3292.616666666667
True,"one of the classics
",113.6
False,no sounds,382.0
True,We Love to Play a Game with OG Friends,61.916666666666664
False,"♥♥♥♥ game
",359.4
True,lovbely,11.133333333333333
True,"loot, shoot.... lobby repeat :)",659.4166666666666
False,after coming back to the game after a number of years its sad to see its still absolutley full of cheaters,186.05
